id,name1,name2,name3,name4,name5,more_names_1,name6,name7,name8,name9,name10,more_names_2,name11,name12,name13,name14,name15,more_names_3,name_1,name_2,name_3,name_4,name_5,name_6,name_7,name_8,name_9,name_10,name_11,name_12,name_13,name_14,name_15,tie1,tie2,tie3,tie4,tie5,tie6,tie7,tie8,tie9,tie10,tie11,tie12,tie13,tie14,tie15,a_tie1,a_tie2,a_tie3,a_tie4,a_tie5,a_tie6,a_tie7,a_tie8,a_tie9,a_tie10,a_tie11,a_tie12,a_tie13,a_tie14,a_tie15,a_tie16,a_tie17,a_tie18,a_tie19,a_tie20,a_tie21,a_tie22,a_tie23,a_tie24,a_tie25,a_tie26,a_tie27,a_tie28,a_tie29,a_tie30,a_tie31,a_tie32,a_tie33,a_tie34,a_tie35,a_tie36,a_tie37,a_tie38,a_tie39,a_tie40,a_tie41,a_tie42,a_tie43,a_tie44,a_tie45,a_tie46,a_tie47,a_tie48,a_tie49,a_tie50,a_tie51,a_tie52,a_tie53,a_tie54,a_tie55,a_tie56,a_tie57,a_tie58,a_tie59,a_tie60,a_tie61,a_tie62,a_tie63,a_tie64,a_tie65,a_tie66,a_tie67,a_tie68,a_tie69,a_tie70,a_tie71,a_tie72,a_tie73,a_tie74,a_tie75,a_tie76,a_tie77,a_tie78,a_tie79,a_tie80,a_tie81,a_tie82,a_tie83,a_tie84,a_tie85,a_tie86,a_tie87,a_tie88,a_tie89,a_tie90,a_tie91,a_tie92,a_tie93,a_tie94,a_tie95,a_tie96,a_tie97,a_tie98,a_tie99,a_tie100,a_tie101,a_tie102,a_tie103,a_tie104,a_tie105,name1speak,name2speak,name3speak,name4speak,name5speak,name6speak,name7speak,name8speak,name9speak,name10speak,name11speak,name12speak,name13speak,name14speak,name15speak,name1length,name2length,name3length,name4length,name5length,name6length,name7length,name8length,name9length,name10length,name11length,name12length,name13length,name14length,name15length,sn_relate_1,sn_relate_2,sn_relate_3,sn_relate_4,sn_relate_5,sn_relate_6,sn_relate_7,sn_relate_8,sn_relate_9,sn_relate_10,sn_relate_11,sn_relate_12,sn_relate_13,sn_relate_14,sn_relate_15,name1dist,name2dist,name3dist,name4dist,name5dist,name6dist,name7dist,name8dist,name9dist,name10dist,name11dist,name12dist,name13dist,name14dist,name15dist,record_id,name1relat__1,name1relat__2,name1relat__3,name1relat__4,name1relat__5,name1relat__77,name2relat__1,name2relat__2,name2relat__3,name2relat__4,name2relat__5,name2relat__77,name3relat__1,name3relat__2,name3relat__3,name3relat__4,name3relat__5,name3relat__77,name4relat__1,name4relat__2,name4relat__3,name4relat__4,name4relat__5,name4relat__77,name5relat__1,name5relat__2,name5relat__3,name5relat__4,name5relat__5,name5relat__77,name6relat__1,name6relat__2,name6relat__3,name6relat__4,name6relat__5,name6relat__77,name7relat__1,name7relat__2,name7relat__3,name7relat__4,name7relat__5,name7relat__77,name8relat__1,name8relat__2,name8relat__3,name8relat__4,name8relat__5,name8relat__77,name9relat__1,name9relat__2,name9relat__3,name9relat__4,name9relat__5,name9relat__77,name10relat__1,name10relat__2,name10relat__3,name10relat__4,name10relat__5,name10relat__77,name11relat__1,name11relat__2,name11relat__3,name11relat__4,name11relat__5,name11relat__77,name12relat__1,name12relat__2,name12relat__3,name12relat__4,name12relat__5,name12relat__77,name13relat__1,name13relat__2,name13relat__3,name13relat__4,name13relat__5,name13relat__77,name14relat__1,name14relat__2,name14relat__3,name14relat__4,name14relat__5,name14relat__77,name15relat__1,name15relat__2,name15relat__3,name15relat__4,name15relat__5,name15relat__77,network_size,total.edges,total.weakTies,total.strongTies,max_degree,mean_degree,density_val,degree_centrality_score,constraint,effsize,kinship
A311A0TCGNTFKK,Melissa,Brooke,Christina,Bill,Chris,,Melissa,Brooke,Christina,Bill,Chris,,Melissa,Brooke,Christina,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spouse,Family,Family,Co-worker,Co-worker,,,,,,,,,,,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,2,6,5,2.666666667,0.533333333,0.466666667,0.552083333,3.5,3
A1HWB810RJBV2K,sw,lc,ll,cl,tb,,sw,,,,,,sw,ll,lc,cl,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spouse,Family,Family,Family,Friend,,,,,,,,,,,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,15,5,5,1,0,0.648,1,4
A7ERZELTAMWL5,Diane,Andy,Keith,Nelson,Derek,,Diane,,,,,,Diane,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spouse,Friend,Friend,Friend,Co-worker,,,,,,,,,,,1,5,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,6,3,5,3,0.6,0.4,0.489954649,4,1
A39C210BKD7YNN,Mike,Russell,,,,,Brittany,,,,,,Mike ,Russell,Brittany,,,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spouse,Family,,,,Family,,,,,,,,,,1,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,4,3,3,1,0,0.822777778,1.666666667,3
A2ZDEERVRN5AMC,Janet,Kyle,Mark,Kurt,Jerry,,Kyle,Kurt,,,,,Kyle,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Family,Family,Family,Family,Family,,,,,,,,,,,1,1,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,11,2,5,4.333333333,0.866666667,0.133333333,0.650044444,2.4,5
A1OWHPMKE7YAGL,MR,MC,ES,,,,MC,MB,,,,,MR,MC,ES,DJ,AH,,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,2,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,3,2,3,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,2,Spouse,Friend,Family,,,,Friend,,,,,,,"Friend,Advisor,Other","Friend,Advisor,Other",1,3,5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,4,2,115,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,6,15,9,6,6,4.285714286,0.714285714,0.285714286,0.487355516,3.888888889,2
A1P0XSCJ9XAV74,Stephan,Jamie,Susan,Steve,,,Nick,Curtis,Jamie,,,,Stephan,Dot,,,,,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,2,1,1,2,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,1,2,2,NA,2,2,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,2,2,NA,NA,NA,NA,0,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,NA,3,3,NA,NA,NA,NA,2,NA,NA,NA,3,3,3,3,NA,3,3,NA,NA,NA,NA,3,NA,NA,NA,Spouse,Friend,Family,Family,,Friend,Friend,,,,,Family,,,,1,4,3,2,NA,4,4,NA,NA,NA,NA,5,NA,NA,NA,116,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,14,10,7,6,0.857142857,0.142857143,0.481380504,3.65,4
AH7Z2M3KSQ4DW,BM,CB,SB,,,,BM,,,,,,SB,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Friend,Family,Friend,,,,,,,,,,,,,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,2,3,2.5,0.833333333,0.166666667,0.741111111,2.1,1
A36GTTPW17HUL1,Lori,Jess,Russ,,,,Lori,Jess,,,,,Lori,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Friend,Friend,"Friend,Co-worker",,,,,,,,,,,,,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,4,3,2.5,0.833333333,0.166666667,0.933333333,1.6,0
A2CY1TSQ3KKP5Q,Bruce,Jennifer,Lori,,,,Doug,Annell,,,,,Bruce,Annell,,,,,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,2,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,Spouse,"Friend,Co-worker",Family,,,"Friend,Co-worker","Friend,Co-worker",,,,,,,,,1,3,2,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,119,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,2,11,5,4.333333333,0.866666667,0.133333333,0.605114198,2.2,2
A14WLAP6TCEKO0,Robin,Vincent,Kevin,Thomas,Mike,,Vincent,Kevin,Thomas,Mike,Peter,,Robin,Lewis,Flora,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,NA,NA,NA,NA,NA,2,2,2,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,0,0,NA,NA,2,2,1,1,0,1,NA,NA,2,1,2,2,2,NA,NA,1,1,1,1,NA,NA,0,1,2,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,1,3,NA,NA,,,,,,Friend,Friend,"Friend,Co-worker",Friend,"Friend,Co-worker",Spouse,Advisor,Family,,,NA,NA,NA,NA,NA,3,3,2,3,3,1,2,4,NA,NA,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,32,16,16,8,7.111111111,0.888888889,0.111111111,0.436765449,3.607142857,2
A147F5PJTHOB8A,HEATHER,NANCY,MATT,CATHY,,,HEATHER,MATT,BILL,,,,HEATHER,,,,,,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,NA,2,NA,2,NA,NA,2,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,2,3,NA,NA,1,NA,NA,NA,NA,NA,3,NA,3,NA,NA,3,2,NA,NA,3,NA,NA,NA,NA,,Family,,Family,,,Friend,Friend,,,Spouse,,,,,NA,2,NA,5,NA,NA,3,3,NA,NA,1,NA,NA,NA,NA,121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,4,7,5,3.666666667,0.733333333,0.266666667,0.578009574,3,3
A3J55BJGV95JKH,Thad,Gayla,Scotti,,,,Gayla,,,,,,Gayla,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spouse,Friend,Friend,,,,,,,,,,,,,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,3,2,0.666666667,0.333333333,0.611111111,2.333333333,1
A3U21PUMQ6NGT2,JH,CL,KJ,,,,JH,KJ,,,,,JH,CL,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spouse,Family,Friend,,,,,,,,,,,,,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,3,3,1,0,0.915022222,1.2,2
A2S75O867RJG0I,Adam,Natasha,,,,,Adam,,,,,,Adam,Natasha ,Emily,,,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,Friend,Friend,,,,,,,,,,,Friend,,,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,124,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,3,1.5,0.5,0.5,0.36,3,0
